,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=50,6.397087e-03,9.860188e-01,7.584101e-03
n=51,6.562952e-03,9.857402e-01,7.696827e-03
n=52,6.728453e-03,9.854613e-01,7.810228e-03
n=53,6.893597e-03,9.851821e-01,7.924271e-03
n=54,7.058391e-03,9.849027e-01,8.038925e-03
n=55,7.222841e-03,9.846230e-01,8.154161e-03
n=56,7.386954e-03,9.843431e-01,8.269952e-03
n=57,7.550737e-03,9.840630e-01,8.386274e-03
n=58,7.714196e-03,9.837827e-01,8.503104e-03
n=59,7.877339e-03,9.835022e-01,8.620419e-03
n=60,8.040172e-03,9.832216e-01,8.738199e-03
n=61,8.202702e-03,9.829409e-01,8.856425e-03
n=62,8.364935e-03,9.826600e-01,8.975080e-03
n=63,8.526878e-03,9.823790e-01,9.094146e-03
n=64,8.688537e-03,9.820979e-01,9.213608e-03
n=65,8.849919e-03,9.818166e-01,9.333450e-03
n=66,9.011029e-03,9.815353e-01,9.453658e-03
n=67,9.171873e-03,9.812539e-01,9.574220e-03
n=68,9.332458e-03,9.809724e-01,9.695122e-03
n=69,9.492788e-03,9.806909e-01,9.816353e-03
n=70,9.652870e-03,9.804092e-01,9.937902e-03
n=71,9.812709e-03,9.801275e-01,1.005976e-02
n=72,9.972311e-03,9.798458e-01,1.018191e-02
n=73,1.013168e-02,9.795640e-01,1.030435e-02
n=74,1.029082e-02,9.792821e-01,1.042706e-02
n=75,1.044974e-02,9.790002e-01,1.055005e-02
n=76,1.060844e-02,9.787183e-01,1.067329e-02
n=77,1.076693e-02,9.784363e-01,1.079679e-02
n=78,1.092521e-02,9.781543e-01,1.092054e-02
n=79,1.108328e-02,9.778722e-01,1.104452e-02
n=80,1.124115e-02,9.775901e-01,1.116873e-02
n=81,1.139883e-02,9.773080e-01,1.129317e-02
n=82,1.155632e-02,9.770259e-01,1.141783e-02
n=83,1.171362e-02,9.767437e-01,1.154270e-02
n=84,1.187073e-02,9.764615e-01,1.166777e-02
n=85,1.202767e-02,9.761793e-01,1.179305e-02
n=86,1.218443e-02,9.758971e-01,1.191852e-02
n=87,1.234101e-02,9.756148e-01,1.204418e-02
n=88,1.249743e-02,9.753325e-01,1.217003e-02
n=89,1.265368e-02,9.750503e-01,1.229606e-02
n=90,1.280976e-02,9.747680e-01,1.242226e-02
n=91,1.296569e-02,9.744857e-01,1.254864e-02
n=92,1.312146e-02,9.742034e-01,1.267518e-02
n=93,1.327708e-02,9.739210e-01,1.280189e-02
n=94,1.343254e-02,9.736387e-01,1.292876e-02
n=95,1.358786e-02,9.733564e-01,1.305579e-02
n=96,1.374303e-02,9.730740e-01,1.318296e-02
n=97,1.389806e-02,9.727916e-01,1.331029e-02
n=98,1.405295e-02,9.725093e-01,1.343776e-02
