State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=113,2.021907e-02,9.603840e-01,1.939692e-02
n=114,2.031205e-02,9.602097e-01,1.947822e-02
n=115,2.040459e-02,9.600362e-01,1.955921e-02
n=116,2.049669e-02,9.598634e-01,1.963988e-02
n=117,2.058835e-02,9.596914e-01,1.972025e-02
n=118,2.067959e-02,9.595201e-01,1.980031e-02
n=119,2.077040e-02,9.593495e-01,1.988008e-02
n=120,2.086080e-02,9.591797e-01,1.995955e-02
n=121,2.095079e-02,9.590105e-01,2.003872e-02
n=122,2.104037e-02,9.588420e-01,2.011761e-02
n=123,2.112955e-02,9.586742e-01,2.019621e-02
n=124,2.121833e-02,9.585071e-01,2.027452e-02
n=125,2.130673e-02,9.583407e-01,2.035256e-02
n=126,2.139474e-02,9.581749e-01,2.043031e-02
n=127,2.148237e-02,9.580098e-01,2.050780e-02
n=128,2.156963e-02,9.578454e-01,2.058501e-02
n=129,2.165651e-02,9.576815e-01,2.066195e-02
n=130,2.174303e-02,9.575183e-01,2.073863e-02
n=131,2.182919e-02,9.573558e-01,2.081504e-02
n=132,2.191499e-02,9.571938e-01,2.089120e-02
n=133,2.200043e-02,9.570325e-01,2.096709e-02
n=134,2.208553e-02,9.568717e-01,2.104273e-02
n=135,2.217029e-02,9.567116e-01,2.111812e-02
n=136,2.225470e-02,9.565520e-01,2.119326e-02
n=137,2.233878e-02,9.563931e-01,2.126815e-02
n=138,2.242252e-02,9.562347e-01,2.134279e-02
n=139,2.250594e-02,9.560769e-01,2.141720e-02
n=140,2.258903e-02,9.559196e-01,2.149136e-02
n=141,2.267180e-02,9.557629e-01,2.156528e-02
n=142,2.275425e-02,9.556068e-01,2.163897e-02
n=143,2.283639e-02,9.554512e-01,2.171242e-02
n=144,2.291822e-02,9.552961e-01,2.178565e-02
n=145,2.299974e-02,9.551416e-01,2.185864e-02
n=146,2.308096e-02,9.549876e-01,2.193141e-02
n=147,2.316187e-02,9.548342e-01,2.200395e-02
n=148,2.324249e-02,9.546812e-01,2.207627e-02
n=149,2.332282e-02,9.545288e-01,2.214837e-02
n=150,2.340285e-02,9.543769e-01,2.222025e-02
n=151,2.348260e-02,9.542255e-01,2.229191e-02
n=152,2.356206e-02,9.540746e-01,2.236336e-02
n=153,2.364124e-02,9.539242e-01,2.243460e-02
n=154,2.372014e-02,9.537742e-01,2.250562e-02
n=155,2.379876e-02,9.536248e-01,2.257644e-02
n=156,2.387712e-02,9.534758e-01,2.264704e-02
n=157,2.395520e-02,9.533274e-01,2.271745e-02
n=158,2.403301e-02,9.531793e-01,2.278765e-02
n=159,2.411056e-02,9.530318e-01,2.285765e-02
n=160,2.418785e-02,9.528847e-01,2.292744e-02
n=161,2.426487e-02,9.527381e-01,2.299704e-02
n=162,2.434164e-02,9.525919e-01,2.306645e-02
n=163,2.441816e-02,9.524462e-01,2.313565e-02
n=164,2.449442e-02,9.523009e-01,2.320467e-02
n=165,2.457043e-02,9.521561e-01,2.327349e-02
n=166,2.464619e-02,9.520117e-01,2.334212e-02
n=167,2.472171e-02,9.518677e-01,2.341057e-02
n=168,2.479699e-02,9.517242e-01,2.347883e-02
n=169,2.487203e-02,9.515811e-01,2.354690e-02
n=170,2.494683e-02,9.514384e-01,2.361479e-02
n=171,2.502139e-02,9.512961e-01,2.368249e-02
n=172,2.509572e-02,9.511543e-01,2.375001e-02
n=173,2.516982e-02,9.510128e-01,2.381736e-02
n=174,2.524368e-02,9.508718e-01,2.388453e-02
n=175,2.531732e-02,9.507312e-01,2.395152e-02
n=176,2.539074e-02,9.505909e-01,2.401833e-02
n=177,2.546393e-02,9.504511e-01,2.408497e-02
n=178,2.553690e-02,9.503117e-01,2.415144e-02
n=179,2.560965e-02,9.501726e-01,2.421774e-02
n=180,2.568218e-02,9.500340e-01,2.428387e-02
n=181,2.575450e-02,9.498957e-01,2.434982e-02
n=182,2.582661e-02,9.497578e-01,2.441562e-02
