State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=113,1.000000e+00,0.000000e+00,0.000000e+00
n=114,1.000000e+00,0.000000e+00,0.000000e+00
n=115,1.000000e+00,0.000000e+00,0.000000e+00
n=116,1.000000e+00,0.000000e+00,0.000000e+00
n=117,1.000000e+00,0.000000e+00,0.000000e+00
n=118,1.000000e+00,0.000000e+00,0.000000e+00
n=119,1.000000e+00,0.000000e+00,0.000000e+00
n=120,1.000000e+00,0.000000e+00,0.000000e+00
n=121,1.000000e+00,0.000000e+00,0.000000e+00
n=122,1.000000e+00,0.000000e+00,0.000000e+00
n=123,1.000000e+00,0.000000e+00,0.000000e+00
n=124,1.000000e+00,0.000000e+00,0.000000e+00
n=125,1.000000e+00,0.000000e+00,0.000000e+00
n=126,1.000000e+00,0.000000e+00,0.000000e+00
n=127,1.000000e+00,0.000000e+00,0.000000e+00
n=128,1.000000e+00,0.000000e+00,0.000000e+00
n=129,1.000000e+00,0.000000e+00,0.000000e+00
n=130,1.000000e+00,0.000000e+00,0.000000e+00
n=131,1.000000e+00,0.000000e+00,0.000000e+00
n=132,1.000000e+00,0.000000e+00,0.000000e+00
n=133,1.000000e+00,0.000000e+00,0.000000e+00
n=134,1.000000e+00,0.000000e+00,0.000000e+00
n=135,1.000000e+00,0.000000e+00,0.000000e+00
n=136,1.000000e+00,0.000000e+00,0.000000e+00
n=137,1.000000e+00,0.000000e+00,0.000000e+00
n=138,1.000000e+00,0.000000e+00,0.000000e+00
n=139,1.000000e+00,0.000000e+00,0.000000e+00
n=140,1.000000e+00,0.000000e+00,0.000000e+00
n=141,1.000000e+00,0.000000e+00,0.000000e+00
n=142,1.000000e+00,0.000000e+00,0.000000e+00
n=143,1.000000e+00,0.000000e+00,0.000000e+00
n=144,1.000000e+00,0.000000e+00,0.000000e+00
n=145,1.000000e+00,0.000000e+00,0.000000e+00
n=146,1.000000e+00,0.000000e+00,0.000000e+00
n=147,1.000000e+00,0.000000e+00,0.000000e+00
n=148,1.000000e+00,0.000000e+00,0.000000e+00
n=149,1.000000e+00,0.000000e+00,0.000000e+00
n=150,1.000000e+00,0.000000e+00,0.000000e+00
n=151,1.000000e+00,0.000000e+00,0.000000e+00
n=152,1.000000e+00,0.000000e+00,0.000000e+00
n=153,1.000000e+00,0.000000e+00,0.000000e+00
n=154,1.000000e+00,0.000000e+00,0.000000e+00
n=155,1.000000e+00,0.000000e+00,0.000000e+00
n=156,1.000000e+00,0.000000e+00,0.000000e+00
n=157,1.000000e+00,0.000000e+00,0.000000e+00
n=158,1.000000e+00,0.000000e+00,0.000000e+00
n=159,1.000000e+00,0.000000e+00,0.000000e+00
n=160,1.000000e+00,0.000000e+00,0.000000e+00
n=161,1.000000e+00,0.000000e+00,0.000000e+00
n=162,1.000000e+00,0.000000e+00,0.000000e+00
n=163,1.000000e+00,0.000000e+00,0.000000e+00
n=164,1.000000e+00,0.000000e+00,0.000000e+00
n=165,1.000000e+00,0.000000e+00,0.000000e+00
n=166,1.000000e+00,0.000000e+00,0.000000e+00
n=167,1.000000e+00,0.000000e+00,0.000000e+00
n=168,1.000000e+00,0.000000e+00,0.000000e+00
n=169,1.000000e+00,0.000000e+00,0.000000e+00
n=170,1.000000e+00,0.000000e+00,0.000000e+00
n=171,1.000000e+00,0.000000e+00,0.000000e+00
n=172,1.000000e+00,0.000000e+00,0.000000e+00
n=173,1.000000e+00,0.000000e+00,0.000000e+00
n=174,1.000000e+00,0.000000e+00,0.000000e+00
n=175,1.000000e+00,0.000000e+00,0.000000e+00
n=176,1.000000e+00,0.000000e+00,0.000000e+00
n=177,1.000000e+00,0.000000e+00,0.000000e+00
n=178,1.000000e+00,0.000000e+00,0.000000e+00
n=179,1.000000e+00,0.000000e+00,0.000000e+00
n=180,1.000000e+00,0.000000e+00,0.000000e+00
n=181,1.000000e+00,0.000000e+00,0.000000e+00
n=182,1.000000e+00,0.000000e+00,0.000000e+00
n=183,1.000000e+00,0.000000e+00,0.000000e+00
n=184,1.000000e+00,0.000000e+00,0.000000e+00
n=185,1.000000e+00,0.000000e+00,0.000000e+00
n=186,1.000000e+00,0.000000e+00,0.000000e+00
n=187,1.000000e+00,0.000000e+00,0.000000e+00
n=188,1.000000e+00,0.000000e+00,0.000000e+00
n=189,1.000000e+00,0.000000e+00,0.000000e+00
