State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=113,1.920473e-02,9.627251e-01,1.807019e-02
n=114,1.938493e-02,9.623961e-01,1.821894e-02
n=115,1.956500e-02,9.620672e-01,1.836782e-02
n=116,1.974493e-02,9.617382e-01,1.851685e-02
n=117,1.992472e-02,9.614093e-01,1.866600e-02
n=118,2.010439e-02,9.610803e-01,1.881528e-02
n=119,2.028394e-02,9.607514e-01,1.896469e-02
n=120,2.046335e-02,9.604224e-01,1.911423e-02
n=121,2.064264e-02,9.600935e-01,1.926389e-02
n=122,2.082181e-02,9.597645e-01,1.941367e-02
n=123,2.100086e-02,9.594356e-01,1.956357e-02
n=124,2.117980e-02,9.591066e-01,1.971359e-02
n=125,2.135861e-02,9.587777e-01,1.986372e-02
n=126,2.153731e-02,9.584487e-01,2.001396e-02
n=127,2.171590e-02,9.581198e-01,2.016432e-02
n=128,2.189438e-02,9.577908e-01,2.031478e-02
n=129,2.207275e-02,9.574619e-01,2.046535e-02
n=130,2.225101e-02,9.571330e-01,2.061603e-02
n=131,2.242916e-02,9.568040e-01,2.076681e-02
n=132,2.260721e-02,9.564751e-01,2.091770e-02
n=133,2.278515e-02,9.561462e-01,2.106868e-02
n=134,2.296299e-02,9.558172e-01,2.121977e-02
n=135,2.314074e-02,9.554883e-01,2.137095e-02
n=136,2.331838e-02,9.551594e-01,2.152223e-02
n=137,2.349592e-02,9.548305e-01,2.167360e-02
n=138,2.367337e-02,9.545016e-01,2.182507e-02
n=139,2.385073e-02,9.541727e-01,2.197662e-02
n=140,2.402799e-02,9.538437e-01,2.212827e-02
n=141,2.420515e-02,9.535148e-01,2.228001e-02
n=142,2.438223e-02,9.531859e-01,2.243183e-02
n=143,2.455922e-02,9.528570e-01,2.258375e-02
n=144,2.473611e-02,9.525281e-01,2.273574e-02
n=145,2.491292e-02,9.521993e-01,2.288782e-02
n=146,2.508965e-02,9.518704e-01,2.303999e-02
n=147,2.526628e-02,9.515415e-01,2.319223e-02
n=148,2.544284e-02,9.512126e-01,2.334456e-02
n=149,2.561931e-02,9.508837e-01,2.349696e-02
n=150,2.579570e-02,9.505549e-01,2.364945e-02
n=151,2.597201e-02,9.502260e-01,2.380201e-02
n=152,2.614823e-02,9.498971e-01,2.395465e-02
n=153,2.632438e-02,9.495683e-01,2.410736e-02
n=154,2.650045e-02,9.492394e-01,2.426015e-02
n=155,2.667645e-02,9.489105e-01,2.441301e-02
n=156,2.685236e-02,9.485817e-01,2.456594e-02
n=157,2.702821e-02,9.482528e-01,2.471894e-02
n=158,2.720397e-02,9.479240e-01,2.487202e-02
n=159,2.737967e-02,9.475952e-01,2.502516e-02
n=160,2.755529e-02,9.472663e-01,2.517837e-02
n=161,2.773084e-02,9.469375e-01,2.533165e-02
n=162,2.790632e-02,9.466087e-01,2.548500e-02
n=163,2.808174e-02,9.462799e-01,2.563841e-02
n=164,2.825708e-02,9.459510e-01,2.579189e-02
n=165,2.843235e-02,9.456222e-01,2.594543e-02
n=166,2.860756e-02,9.452934e-01,2.609904e-02
n=167,2.878270e-02,9.449646e-01,2.625271e-02
n=168,2.895777e-02,9.446358e-01,2.640644e-02
n=169,2.913278e-02,9.443070e-01,2.656023e-02
n=170,2.930773e-02,9.439782e-01,2.671408e-02
n=171,2.948261e-02,9.436494e-01,2.686800e-02
n=172,2.965743e-02,9.433206e-01,2.702197e-02
n=173,2.983218e-02,9.429918e-01,2.717600e-02
n=174,3.000688e-02,9.426630e-01,2.733009e-02
n=175,3.018151e-02,9.423343e-01,2.748423e-02
n=176,3.035609e-02,9.420055e-01,2.763843e-02
n=177,3.053060e-02,9.416767e-01,2.779269e-02
n=178,3.070506e-02,9.413479e-01,2.794700e-02
n=179,3.087946e-02,9.410192e-01,2.810137e-02
n=180,3.105380e-02,9.406904e-01,2.825579e-02
n=181,3.122809e-02,9.403617e-01,2.841026e-02
n=182,3.140231e-02,9.400329e-01,2.856479e-02
n=183,3.157649e-02,9.397041e-01,2.871937e-02
n=184,3.175060e-02,9.393754e-01,2.887400e-02
n=185,3.192467e-02,9.390467e-01,2.902868e-02
n=186,3.209868e-02,9.387179e-01,2.918341e-02
n=187,3.227263e-02,9.383892e-01,2.933819e-02
n=188,3.244654e-02,9.380604e-01,2.949302e-02
n=189,3.262039e-02,9.377317e-01,2.964790e-02
n=190,3.279419e-02,9.374030e-01,2.980283e-02
n=191,3.296794e-02,9.370743e-01,2.995781e-02
n=192,3.314164e-02,9.367455e-01,3.011283e-02
n=193,3.331529e-02,9.364168e-01,3.026790e-02
n=194,3.348889e-02,9.360881e-01,3.042302e-02
n=195,3.366244e-02,9.357594e-01,3.057818e-02
n=196,3.383594e-02,9.354307e-01,3.073339e-02
n=197,3.400939e-02,9.351020e-01,3.088864e-02
n=198,3.418280e-02,9.347733e-01,3.104394e-02
n=199,3.435616e-02,9.656438e-01,0.000000e+00
